epoch,epoch,simple_testLoss,weighted_testLoss,new_weighted_testLoss
0,0,0.7072662115097046,0.7072432041168213,0.7076776027679443
1,1,0.7068127393722534,0.7067895531654358,0.7052822113037109
2,2,0.7065361142158508,0.7065134644508362,0.705258309841156
3,3,0.7060949802398682,0.7060718536376953,0.7043796181678772
4,4,0.7056453824043274,0.7056229710578918,0.7034599781036377
5,5,0.7052664756774902,0.7052454352378845,0.7032948732376099
6,6,0.7048893570899963,0.7048678994178772,0.7017319202423096
7,7,0.704596221446991,0.70457524061203,0.7026099562644958
8,8,0.7041409611701965,0.7041213512420654,0.6991258263587952
9,9,0.7036888003349304,0.7036678194999695,0.6973167061805725
10,10,0.7032764554023743,0.70325767993927,0.6987507343292236
11,11,0.702851414680481,0.7028331756591797,0.6984885931015015
12,12,0.7025357484817505,0.7025157809257507,0.6964913010597229
13,13,0.7020763754844666,0.7020555138587952,0.6959457993507385
14,14,0.7015396356582642,0.7015194892883301,0.6954125165939331
15,15,0.7011534571647644,0.7011333703994751,0.6949478387832642
16,16,0.700732409954071,0.700713038444519,0.69448322057724
17,17,0.7002886533737183,0.7002694010734558,0.6937258243560791
18,18,0.6997470855712891,0.6997275352478027,0.6930830478668213
19,19,0.6993495225906372,0.6993300914764404,0.6926804780960083
20,20,0.6989101767539978,0.6988916993141174,0.6918730139732361
21,21,0.6984760165214539,0.698457658290863,0.6915220618247986
22,22,0.6981263160705566,0.6981110572814941,0.6912867426872253
23,23,0.6974988579750061,0.6974849700927734,0.6914566159248352
24,24,0.6968491077423096,0.6968352794647217,0.6910042762756348
25,25,0.6962597370147705,0.6962456107139587,0.689243733882904
26,26,0.6957261562347412,0.6957131028175354,0.6907813549041748
27,27,0.6951301097869873,0.6951187252998352,0.6921034455299377
28,28,0.6945777535438538,0.6945686340332031,0.6959952116012573
29,29,0.6939146518707275,0.6939041614532471,0.6936347484588623
30,30,0.693203330039978,0.6931903958320618,0.6869082450866699
31,31,0.692595362663269,0.6925833225250244,0.6913416385650635
32,32,0.6919808387756348,0.6919727921485901,0.6862237453460693
33,33,0.6913280487060547,0.6913194060325623,0.6858133673667908
34,34,0.6905578374862671,0.6905496120452881,0.6875219941139221
35,35,0.6900268197059631,0.6900202631950378,0.6871544122695923
36,36,0.6892571449279785,0.6892501711845398,0.6840104460716248
37,37,0.6887249946594238,0.6887215375900269,0.6858362555503845
38,38,0.6878378987312317,0.6878330111503601,0.6832276582717896
39,39,0.6872721910476685,0.6872670650482178,0.6828083395957947
40,40,0.6864054203033447,0.686405599117279,0.6915588974952698
41,41,0.6852760314941406,0.6852730512619019,0.6810523271560669
42,42,0.6844505071640015,0.684449315071106,0.690762996673584
43,43,0.6835265755653381,0.6835272908210754,0.6795326471328735
44,44,0.6828011870384216,0.6828076243400574,0.6789783835411072
45,45,0.6819593906402588,0.6819634437561035,0.677702784538269
46,46,0.6812106370925903,0.6812186241149902,0.6777358651161194
47,47,0.680504322052002,0.680508017539978,0.6771290302276611
48,48,0.6797752380371094,0.6797854900360107,0.6774406433105469
49,49,0.6783547401428223,0.6783576011657715,0.6740584969520569
50,50,0.6775998473167419,0.677614152431488,0.6832085847854614
51,51,0.6767356395721436,0.6767520308494568,0.6724786162376404
52,52,0.6754910945892334,0.6754822134971619,0.6691088676452637
53,53,0.6740115284919739,0.6740241646766663,0.6783695220947266
54,54,0.6728386282920837,0.6728456020355225,0.6688264012336731
55,55,0.6714683771133423,0.6714832782745361,0.6696885228157043
56,56,0.6705512404441833,0.6705229878425598,0.6633310914039612
57,57,0.6708061099052429,0.6710920929908752,0.6781925559043884
58,58,0.6695740222930908,0.6696732640266418,0.7053812742233276
59,59,0.6692555546760559,0.669445812702179,0.6905445456504822
60,60,0.679118812084198,0.6791037917137146,0.6818450093269348
61,61,0.6777420043945312,0.6776955127716064,0.6738551259040833
62,62,0.6759734749794006,0.6760521531105042,0.7027815580368042
63,63,0.6738221645355225,0.673873782157898,0.6898127198219299
64,64,0.671917736530304,0.672036349773407,0.7007499933242798
65,65,0.6704848408699036,0.670566201210022,0.7043255567550659
66,66,0.668857216835022,0.6689411401748657,0.7055583596229553
67,67,0.6675093770027161,0.6675829291343689,0.6892634034156799
68,68,0.6661182641983032,0.6662040948867798,0.70572429895401
69,69,0.6647841334342957,0.6648608446121216,0.6878344416618347
70,70,0.6632880568504333,0.663359522819519,0.687184751033783
71,71,0.6621822714805603,0.6622700691223145,0.6938261985778809
72,72,0.6606165766716003,0.6607272624969482,0.6936085820198059
73,73,0.6590887904167175,0.6591503024101257,0.688599705696106
74,74,0.6578065156936646,0.6579203009605408,0.6918801665306091
75,75,0.6599776744842529,0.6594200730323792,0.6491745710372925
76,76,0.6622938513755798,0.6624470353126526,0.6917564272880554
77,77,0.657670259475708,0.6577103734016418,0.6780116558074951
78,78,0.6560440063476562,0.656106173992157,0.6900363564491272
79,79,0.6545681953430176,0.6546439528465271,0.6747294068336487
80,80,0.6535525918006897,0.6533657908439636,0.6425014138221741
81,81,0.6531439423561096,0.6526803374290466,0.6440542936325073
82,82,0.6624232530593872,0.6625141501426697,0.6702834963798523
83,83,0.660280168056488,0.6603291630744934,0.6669762134552002
84,84,0.6568481922149658,0.6568989157676697,0.6697700619697571
85,85,0.6537089347839355,0.653738260269165,0.6733132600784302
86,86,0.6501575708389282,0.6501852869987488,0.649064302444458
87,87,0.6474558711051941,0.6474772095680237,0.6446433067321777
88,88,0.6443924307823181,0.6444713473320007,0.6781692504882812
89,89,0.6425454616546631,0.6426035761833191,0.6675009727478027
90,90,0.6419289112091064,0.6418925523757935,0.6315845847129822
91,91,0.6437327265739441,0.6438347101211548,0.6560390591621399
92,92,0.6407257914543152,0.6407963037490845,0.6632311344146729
93,93,0.6386111974716187,0.638648509979248,0.6515781283378601
94,94,0.6363755464553833,0.6364126801490784,0.6603946685791016
95,95,0.6347113847732544,0.6347195506095886,0.6170012354850769
96,96,0.6477863192558289,0.6480213403701782,0.6551957130432129
97,97,0.6559534668922424,0.6558127403259277,0.6582667827606201
98,98,0.6504135727882385,0.6504921317100525,0.6927592754364014
99,99,0.646618127822876,0.6466960310935974,0.6918256282806396
100,100,0.6431330442428589,0.6432120203971863,0.6859250664710999
101,101,0.638756513595581,0.6388146877288818,0.6690517067909241
102,102,0.6356621980667114,0.6357120275497437,0.6693437099456787
103,103,0.6333255171775818,0.6333787441253662,0.6671707630157471
104,104,0.6308158040046692,0.6308678984642029,0.665635347366333
105,105,0.6288282871246338,0.6289029121398926,0.6734958291053772
106,106,0.6263961791992188,0.6264511346817017,0.6722022294998169
107,107,0.6267640590667725,0.6268582344055176,0.6687056422233582
108,108,0.6213762760162354,0.6214300990104675,0.6844272613525391
109,109,0.6200453639030457,0.6201034784317017,0.6404209136962891
110,110,0.6498146057128906,0.649829626083374,0.659519612789154
111,111,0.6426990628242493,0.642727255821228,0.6493121385574341
112,112,0.6360503435134888,0.6361215114593506,0.664611279964447
113,113,0.6306277513504028,0.6306824684143066,0.6556375026702881
114,114,0.6250651478767395,0.6251457333564758,0.6545287370681763
115,115,0.6219956874847412,0.6220269203186035,0.6399977207183838
116,116,0.6186641454696655,0.6186900734901428,0.6225860714912415
117,117,0.6177194118499756,0.6175318360328674,0.6072914600372314
118,118,0.6487074494361877,0.6487593054771423,0.6651023030281067
119,119,0.6353545188903809,0.6353985071182251,0.6458439230918884
120,120,0.6273148655891418,0.6273549199104309,0.6557022929191589
121,121,0.6223971247673035,0.6224446892738342,0.6588767766952515
122,122,0.6181210279464722,0.618179976940155,0.6724405884742737
123,123,0.6157581210136414,0.6158252954483032,0.6659166812896729
124,124,0.6128804683685303,0.6129608154296875,0.6719143986701965
125,125,0.6124041676521301,0.6126450300216675,0.6455647349357605
126,126,0.6254886388778687,0.6252812743186951,0.6146859526634216
127,127,0.6171227097511292,0.6170982122421265,0.6012322306632996
128,128,0.6116371154785156,0.611761212348938,0.6381329298019409
129,129,0.6355568170547485,0.6355460286140442,0.6472750306129456
130,130,0.618283748626709,0.618358314037323,0.6647308468818665
131,131,0.6155409812927246,0.6155719757080078,0.6468476057052612
132,132,0.6080472469329834,0.6080942749977112,0.6154711246490479
133,133,0.6033085584640503,0.603492796421051,0.6156888604164124
134,134,0.6276474595069885,0.6275143027305603,0.624565601348877
135,135,0.6251065731048584,0.6250699162483215,0.6111724972724915
136,136,0.6148954033851624,0.6149517297744751,0.633908748626709
137,137,0.608823835849762,0.60883629322052,0.6452083587646484
138,138,0.6062198281288147,0.6062572598457336,0.6276240944862366
139,139,0.6007434129714966,0.6007689237594604,0.6496182680130005
140,140,0.5986598134040833,0.598691463470459,0.58348149061203
141,141,0.6378613114356995,0.6379027366638184,0.6383801698684692
142,142,0.6199876070022583,0.6200644969940186,0.6706292033195496
143,143,0.6034381985664368,0.603461742401123,0.6562183499336243
144,144,0.6000750660896301,0.6001856923103333,0.6579281091690063
145,145,0.5986533164978027,0.5988904237747192,0.6139605641365051
146,146,0.6376744508743286,0.6378006339073181,0.6599327921867371
147,147,0.6128540635108948,0.6129254698753357,0.6451523303985596
148,148,0.605985701084137,0.6060604453086853,0.664328396320343
149,149,0.5991402864456177,0.5991821885108948,0.6514992713928223
150,150,0.5928996205329895,0.5929701328277588,0.6464632749557495
151,151,0.587445080280304,0.5874481797218323,0.5889584422111511
152,152,0.6139020323753357,0.6140894293785095,0.6368621587753296
153,153,0.63368821144104,0.6337540745735168,0.6550998091697693
154,154,0.6238303184509277,0.6239359378814697,0.6654061675071716
155,155,0.6179821491241455,0.6180693507194519,0.6621265411376953
156,156,0.608249306678772,0.6083548069000244,0.6492664217948914
157,157,0.6052194237709045,0.6053357720375061,0.6617786288261414
158,158,0.5992302894592285,0.5993106961250305,0.6423177123069763
159,159,0.5964669585227966,0.5965461730957031,0.6263352632522583
160,160,0.5960156917572021,0.5961098670959473,0.6255665421485901
161,161,0.6118139624595642,0.6120070219039917,0.6394463777542114
162,162,0.6089736819267273,0.6091735363006592,0.651404082775116
163,163,0.6005572080612183,0.6005281805992126,0.6071838736534119
164,164,0.6082600355148315,0.6080708503723145,0.5877546072006226
165,165,0.5985835790634155,0.5985262393951416,0.5798642635345459
166,166,0.5962511897087097,0.5963510870933533,0.6080474853515625
167,167,0.6101183295249939,0.6102086305618286,0.6179924607276917
168,168,0.5963595509529114,0.5963969826698303,0.6252798438072205
169,169,0.5979442000389099,0.5979915261268616,0.5979540944099426
170,170,0.5895475745201111,0.5898142457008362,0.6306281089782715
171,171,0.6231351494789124,0.6233702301979065,0.6503096222877502
172,172,0.612036406993866,0.6121065616607666,0.6276291608810425
173,173,0.5963255763053894,0.5963959097862244,0.6115070581436157
174,174,0.5908148884773254,0.5909023880958557,0.6273124814033508
175,175,0.576969563961029,0.5770665407180786,0.609873354434967
176,176,0.5752328634262085,0.5752677321434021,0.5548467636108398
177,177,0.5737751722335815,0.5738198161125183,0.596543550491333
178,178,0.6038877964019775,0.6041007041931152,0.6598576307296753
179,179,0.6014224886894226,0.6016072034835815,0.6583149433135986
180,180,0.5937531590461731,0.5938530564308167,0.6209354400634766
181,181,0.6076064109802246,0.607624888420105,0.6142506003379822
182,182,0.5966361165046692,0.5968548059463501,0.6386505365371704
183,183,0.5895642638206482,0.5893871784210205,0.6106590032577515
184,184,0.5954137444496155,0.5953349471092224,0.6006361842155457
185,185,0.5841428637504578,0.5841717720031738,0.6157538890838623
186,186,0.58439701795578,0.5845597386360168,0.6276968717575073
187,187,0.5736264586448669,0.5740061402320862,0.6245800852775574
188,188,0.6229649782180786,0.6228405237197876,0.5951576828956604
189,189,0.6039432883262634,0.6039408445358276,0.609146773815155
190,190,0.5742992162704468,0.5743923783302307,0.6137099862098694
191,191,0.5641892552375793,0.5642393827438354,0.5713464021682739
192,192,0.5629287362098694,0.5628288984298706,0.5369824767112732
193,193,0.6266465783119202,0.6268006563186646,0.6245055198669434
194,194,0.6077948808670044,0.6077210307121277,0.59913569688797
195,195,0.5702175498008728,0.5703474283218384,0.6039044857025146
