epoch,epoch,simple_testLoss,weighted_testLoss,new_weighted_testLoss
0,0,0.6953856348991394,0.695382833480835,0.6952674984931946
1,1,0.6941820979118347,0.6941719055175781,0.6930051445960999
2,2,0.6933896541595459,0.6933746337890625,0.6885947585105896
3,3,0.692954957485199,0.6929330229759216,0.6879470348358154
4,4,0.6925159096717834,0.6924937963485718,0.6859086155891418
5,5,0.6923320293426514,0.692304253578186,0.685547947883606
6,6,0.6920075416564941,0.6919726729393005,0.6844884157180786
7,7,0.6916081309318542,0.6915593147277832,0.6831379532814026
8,8,0.6913381218910217,0.6912817358970642,0.6821160316467285
