epoch,epoch,simple_testLoss,weighted_testLoss,new_weighted_testLoss
0,0,0.6921851634979248,0.6921417117118835,0.6875472068786621
1,1,0.6917017698287964,0.6916435956954956,0.6823658347129822
2,2,0.6911606788635254,0.6910842657089233,0.6802806258201599
3,3,0.6907553672790527,0.6906642913818359,0.6783925294876099
4,4,0.690388560295105,0.690281331539154,0.6763485074043274
5,5,0.6901267766952515,0.690002977848053,0.6750397086143494
6,6,0.6897470951080322,0.689601480960846,0.671603262424469
7,7,0.6894561648368835,0.689282238483429,0.6692684888839722
8,8,0.6892044544219971,0.6889979243278503,0.6671517491340637
9,9,0.6889422535896301,0.6887053847312927,0.6671121120452881
10,10,0.6887446045875549,0.6884653568267822,0.6648433208465576
11,11,0.6885567307472229,0.6882323026657104,0.6620704531669617
12,12,0.6881961226463318,0.6878150701522827,0.6609639525413513
13,13,0.6880732178688049,0.6876457929611206,0.6570746302604675
14,14,0.6879164576530457,0.687431812286377,0.6539422273635864
15,15,0.6876770257949829,0.6871052384376526,0.6488284468650818
16,16,0.6874740719795227,0.6868245005607605,0.6452217102050781
17,17,0.6870734095573425,0.6863183379173279,0.6409711241722107
18,18,0.6867562532424927,0.685857892036438,0.6331434845924377
19,19,0.6863460540771484,0.6853362321853638,0.6285519003868103
20,20,0.6858602166175842,0.6847084760665894,0.6238749027252197
21,21,0.6853281855583191,0.6840322017669678,0.6223419904708862
22,22,0.6846747994422913,0.6831713914871216,0.6155858635902405
23,23,0.6839807033538818,0.6822850108146667,0.6080750823020935
24,24,0.6832508444786072,0.6813956499099731,0.6022480726242065
25,25,0.6824814081192017,0.6804282665252686,0.5969445705413818
26,26,0.6818202137947083,0.6795332431793213,0.59072345495224
27,27,0.6811822056770325,0.6786925196647644,0.5891729593276978
28,28,0.6803780794143677,0.6777443289756775,0.585216224193573
29,29,0.6796485185623169,0.6769136786460876,0.5795136094093323
30,30,0.678828775882721,0.6757100224494934,0.5763133764266968
31,31,0.6781806945800781,0.6748911738395691,0.5707943439483643
32,32,0.6775972843170166,0.6742541193962097,0.5678048729896545
33,33,0.6769229769706726,0.6733407378196716,0.5646399259567261
34,34,0.6762511134147644,0.6728035807609558,0.561767578125
35,35,0.6758087277412415,0.6718307733535767,0.5580447912216187
36,36,0.674946665763855,0.6707535982131958,0.5542904734611511
37,37,0.6743260622024536,0.6698315143585205,0.5457770824432373
38,38,0.67393559217453,0.6694022417068481,0.543499767780304
39,39,0.6740903258323669,0.6699910163879395,0.5496301054954529
40,40,0.6731299161911011,0.6683696508407593,0.5435041189193726
41,41,0.6725949048995972,0.6679688096046448,0.539828360080719
42,42,0.6719424724578857,0.6666445136070251,0.5341795682907104
43,43,0.6718041300773621,0.666576623916626,0.5388210415840149
44,44,0.6712231636047363,0.6658347845077515,0.536644458770752
45,45,0.6711036562919617,0.6656150817871094,0.5242831110954285
46,46,0.6711124777793884,0.6654594540596008,0.5240119695663452
47,47,0.670035183429718,0.6639136672019958,0.526233971118927
48,48,0.6704658269882202,0.664786159992218,0.5211147665977478
49,49,0.6701899170875549,0.6640004515647888,0.5255705714225769
50,50,0.6696193814277649,0.6631054878234863,0.514348566532135
51,51,0.6695579886436462,0.6632649898529053,0.5146762132644653
52,52,0.6707866787910461,0.6651498079299927,0.5129850506782532
53,53,0.6687369346618652,0.6627128720283508,0.5276870727539062
54,54,0.6693476438522339,0.6623722910881042,0.5108085870742798
55,55,0.669072687625885,0.6616888642311096,0.5072571635246277
56,56,0.6684677600860596,0.6632583737373352,0.5192748308181763
57,57,0.668745756149292,0.6613396406173706,0.5155893564224243
58,58,0.6683127284049988,0.6608673334121704,0.5044685006141663
59,59,0.6682170629501343,0.6604281067848206,0.5077464580535889
60,60,0.6677192449569702,0.660026490688324,0.5099073648452759
61,61,0.6679209470748901,0.6597592830657959,0.49849510192871094
62,62,0.6676121354103088,0.6609714031219482,0.5127298831939697
63,63,0.6676474809646606,0.6599986553192139,0.49321216344833374
64,64,0.6673552393913269,0.6599730253219604,0.5049530863761902
65,65,0.6675056219100952,0.6605673432350159,0.5385321378707886
66,66,0.6665396094322205,0.658685564994812,0.5203853249549866
67,67,0.6666303277015686,0.6586592197418213,0.5118991732597351
68,68,0.6670112609863281,0.6588157415390015,0.49911046028137207
69,69,0.6671429872512817,0.6594347357749939,0.504951000213623
70,70,0.6657723188400269,0.6580595374107361,0.5068828463554382
71,71,0.6657038927078247,0.6574714183807373,0.5165607929229736
72,72,0.665847897529602,0.6571547985076904,0.48704731464385986
73,73,0.6657248735427856,0.6576232314109802,0.5001145601272583
74,74,0.6654934287071228,0.6570919752120972,0.48160770535469055
75,75,0.6653966307640076,0.6570473909378052,0.4846203327178955
76,76,0.6646521687507629,0.6564925909042358,0.504875659942627
77,77,0.6638149619102478,0.6561412215232849,0.5150293707847595
78,78,0.6650554537773132,0.6563720703125,0.49564242362976074
79,79,0.664436399936676,0.6563994884490967,0.5258042812347412
80,80,0.6638819575309753,0.6558860540390015,0.5121729969978333
81,81,0.6631727814674377,0.6548991799354553,0.5158534646034241
82,82,0.6634848117828369,0.654927670955658,0.5296424627304077
83,83,0.6627681255340576,0.6539374589920044,0.48863208293914795
84,84,0.6627063155174255,0.6539872288703918,0.504134476184845
85,85,0.6619412302970886,0.6548666954040527,0.516674280166626
86,86,0.6630196571350098,0.6548211574554443,0.4952760934829712
87,87,0.6632939577102661,0.6550641655921936,0.5038599967956543
88,88,0.6625290513038635,0.6548753380775452,0.4993603229522705
89,89,0.6620535850524902,0.6528061628341675,0.48322999477386475
90,90,0.6627414226531982,0.654205322265625,0.49054640531539917
91,91,0.6631903648376465,0.6533714532852173,0.4905281662940979
92,92,0.6630045771598816,0.654276967048645,0.5002070665359497
